job_title,company_name,location,salary,skills,url,source,description
Senior AI Product Manager - eKYC,Trusting Social,Dashboard,You'll love it,Product Management | English | Data Analysis | AI,https://itviec.com/it-jobs/senior-ai-product-manager-ekyc-trusting-social-0445,itviec,
Test Engineer,Motorola Solutions,Dashboard,You'll love it,Automation Test | Integration test,https://itviec.com/it-jobs/test-engineer-motorola-solutions-5535,itviec,
Firmware Developer,Motorola Solutions,Dashboard,You'll love it,Embedded C | OpenCV | Linux,https://itviec.com/it-jobs/firmware-developer-motorola-solutions-1057,itviec,
Chuyên gia quản trị cơ sở dữ liệu (DBA Expert),SSI Securities Corporation,Dashboard,You'll love it,Database | Microsoft SQL Server | DBA,https://itviec.com/it-jobs/chuyen-gia-quan-tri-co-so-du-lieu-dba-expert-ssi-securities-corporation-0826,itviec,
Middle/Senior Frontend Engineer (Reactjs),NAB Innovation Centre Vietnam,Dashboard,You'll love it,ReactJS | Java | Redux | TypeScript | NodeJS | JavaScript,https://itviec.com/it-jobs/middle-senior-frontend-engineer-reactjs-nab-innovation-centre-vietnam-2435,itviec,
"Lead Frontend Engineer (Reactjs, Java, Nodejs)",NAB Innovation Centre Vietnam,Dashboard,You'll love it,ReactJS | TypeScript | JavaScript | Redux | Java | NodeJS,https://itviec.com/it-jobs/lead-frontend-engineer-reactjs-java-nodejs-nab-innovation-centre-vietnam-1157,itviec,
Solution Architect (SQL),Ngân hàng TMCP Tiên Phong | TPBank,Dashboard,You'll love it,Solution Architecture | SQL | Software Architecture,https://itviec.com/it-jobs/solution-architect-sql-ngan-hang-tmcp-tien-phong-tpbank-1726,itviec,
Bridge Software Engineer (Japanese),Cube System Việt Nam,Dashboard,"1,500 - 2,000 USD",Bridge Engineer | Web API | Leadership | Japanese,https://itviec.com/it-jobs/bridge-software-engineer-japanese-cube-system-viet-nam-0818,itviec,
"[Hanoi] Senior Site Reliability Engineer (SRE, DevOps)","MONEY FORWARD VIETNAM CO.,LTD",Dashboard,You'll love it,DevOps | Terraform | Kubernetes | Docker | Cloud | AWS,https://itviec.com/it-jobs/hanoi-senior-site-reliability-engineer-sre-devops-money-forward-vietnam-co-ltd-5803,itviec,
CVCC Quản trị cơ sở dữ liệu (DBA),Công ty Cổ phần Thanh toán số MobiFone,Dashboard,You'll love it,DBA | Bash Shell | Python,https://itviec.com/it-jobs/cvcc-quan-tri-co-so-du-lieu-dba-cong-ty-co-phan-thanh-toan-so-mobifone-2045,itviec,
CVCC Quản trị mạng và An ninh thông tin,Công ty Cổ phần Thanh toán số MobiFone,Dashboard,"500 - 3,000 USD",Security | Networking,https://itviec.com/it-jobs/cvcc-quan-tri-mang-va-an-ninh-thong-tin-cong-ty-co-phan-thanh-toan-so-mobifone-3449,itviec,
CVCC Giám sát An toàn thông tin (SOC),Công ty Cổ phần Thanh toán số MobiFone,Dashboard,"500 - 3,000 USD",Information Security | SIEM,https://itviec.com/it-jobs/cvcc-giam-sat-an-toan-thong-tin-soc-cong-ty-co-phan-thanh-toan-so-mobifone-2831,itviec,
"QA Manager (Tester, Japanese N2+)","ANDPAD VietNam Co., Ltd",Dashboard,You'll love it,QA QC | Leadership | Tester | Scrum | Agile | Japanese,https://itviec.com/it-jobs/qa-manager-tester-japanese-n2-andpad-vietnam-co-ltd-2949,itviec,
Chuyên viên khai thác ứng dụng,Trung tâm công nghệ thông tin MobiFone,Dashboard,You'll love it,IT Support | Windows Server | SQL | Linux,https://itviec.com/it-jobs/chuyen-vien-khai-thac-ung-dung-trung-tam-cong-nghe-thong-tin-mobifone-4657,itviec,
Chuyên viên an ninh mạng,Trung tâm công nghệ thông tin MobiFone,Dashboard,You'll love it,Endpoint Protection | CompTIA Security+ | Networking | Firewall,https://itviec.com/it-jobs/chuyen-vien-an-ninh-mang-trung-tam-cong-nghe-thong-tin-mobifone-5027,itviec,
"Middle Backend Developer (NodeJS, NestJS, ExpressJS)",Eazylab VietNam,Dashboard,You'll love it,NodeJS | Redis | PostgreSql | NestJS | MySQL | ExpressJS,https://itviec.com/it-jobs/middle-backend-developer-nodejs-nestjs-expressjs-eazylab-vietnam-1256,itviec,
